JOB;Deadline;PT
4;33;3.298737499
33;33;5.458114215
20;33;6.195098018
35;57;1.039025717
29;57;1.836282045
19;57;2.28039799
47;57;4.317828958
18;57;6.527571252
16;57;7.028932658
48;57;8.958932975
2;81;2.421863848
7;81;3.140625761
17;81;3.207081627
25;81;5.813104173
45;81;8.187478572
32;105;1.436556474
23;105;2.588869864
30;105;4.667523311
36;105;9.873781445
22;177;1.005006145
49;177;1.155071212
37;177;1.649872644
26;177;1.927591843
1;177;2.004190011
41;177;2.177182588
46;177;2.269200387
31;177;2.955305635
38;177;8.301354278
43;201;2.118609457
34;201;2.260907475
12;201;2.728079198
21;201;2.90968133
11;201;4.628823523
14;201;11.29129747
39;225;1.059848953
5;225;1.28105933
40;225;1.480026159
42;225;3.824922119
28;225;4.516646085
6;249;1.904033828
8;249;3.066413204
3;249;4.07842146
27;249;4.379260621
9;249;10.00693563
44;273;1.083178571
24;273;1.268732809
15;273;1.944089493
13;273;4.438864904
10;273;7.185048187
